IssuedDate,Year,Month,Day,DailyNumFines,NumPaidFines,TotalFineAmount,AvgPaidFine,MinTemp,RainPrecip,SnowPrecip,Wind,CO,CO_LEVEL,NO2,NO2_LEVEL,O3,O3_LEVEL,PM10,PM10_LEVEL,PM25,PM25_LEVEL,NA_Correction,Tues,Wed,Thurs,Fri,Sat,Sun,AQI,AQI_LEVEL
2014-01-23,2014,1,Thursday,66,58.0,1223,21.08620689655172,-9.5,0.0,0.0,6.5,1.1,Good,78.0,Moderate,0.021,Good,28.21487603305785,Good,43.2,Unhealthy for Sensitive Groups,True,0,0,1,0,0,0,120,Unhealthy for Sensitive Groups
2014-01-24,2014,1,Friday,25,20.0,366,18.3,-15.3,0.0,0.0,3.9,0.7,Good,53.0,Good,0.025,Good,28.21487603305785,Good,17.9,Moderate,True,0,0,0,1,0,0,63,Moderate
2014-01-25,2014,1,Saturday,3,2.0,100,50.0,-9.9,0.0,0.0,4.4,0.8,Good,50.0,Good,0.026,Good,28.21487603305785,Good,19.1,Moderate,True,0,0,0,0,1,0,66,Moderate
2014-01-26,2014,1,Sunday,88,75.0,2872,38.29333333333334,-8.1,0.0,0.0,5.4,0.9,Good,51.0,Good,0.031,Good,28.21487603305785,Good,17.3,Moderate,True,0,0,0,0,0,1,62,Moderate
2014-01-27,2014,1,Monday,46,29.0,712,24.55172413793104,-6.6,0.0,0.0,9.4,0.8,Good,54.0,Moderate,0.016,Good,28.21487603305785,Good,21.0,Moderate,True,0,0,0,0,0,0,70,Moderate
2014-01-28,2014,1,Tuesday,80,68.0,1520,22.352941176470587,-5.5,0.0,0.0,5.5,0.8,Good,52.0,Good,0.029,Good,28.21487603305785,Good,25.9,Moderate,True,1,0,0,0,0,0,80,Moderate
2014-01-29,2014,1,Wednesday,79,73.0,1656,22.684931506849317,-3.6,5.2,1.68,13.1,0.9,Good,52.0,Good,0.032,Good,28.21487603305785,Good,11.5,Good,True,0,1,0,0,0,0,49,Good
2014-01-30,2014,1,Thursday,45,34.0,934,27.47058823529412,-0.5,2.9,3.64,8.1,0.9,Good,36.0,Good,0.028,Good,28.21487603305785,Good,5.4,Good,True,0,0,1,0,0,0,34,Good
2014-01-31,2014,1,Friday,97,80.0,1840,23.0,-4.5,0.0,0.49,10.6,0.3,Good,31.0,Good,0.026,Good,28.21487603305785,Good,10.8,Good,True,0,0,0,1,0,0,45,Good
2014-02-02,2014,2,Sunday,70,62.0,2193,35.37096774193548,-16.0,0.0,0.0,10.4,0.3,Good,25.0,Good,0.038,Good,10.0,Good,5.2,Good,False,0,0,0,0,0,1,35,Good
2014-02-03,2014,2,Monday,43,39.0,885,22.692307692307693,-14.1,0.0,0.21,10.9,0.7,Good,39.0,Good,0.033,Good,11.0,Good,6.4,Good,False,0,0,0,0,0,0,37,Good
2014-02-04,2014,2,Tuesday,55,42.0,935,22.261904761904763,-8.8,0.0,2.45,9.5,0.3,Good,38.0,Good,0.034,Good,13.0,Good,5.1,Good,False,1,0,0,0,0,0,36,Good
2014-02-05,2014,2,Wednesday,35,28.0,657,23.464285714285715,-15.7,0.0,0.0,11.2,0.5,Good,45.0,Good,0.026,Good,10.0,Good,8.7,Good,False,0,1,0,0,0,0,42,Good
2014-02-06,2014,2,Thursday,57,42.0,930,22.142857142857142,-12.4,0.0,0.35,9.4,0.6,Good,37.0,Good,0.032,Good,11.0,Good,10.0,Good,False,0,0,1,0,0,0,42,Good
2014-02-07,2014,2,Friday,19,14.0,290,20.714285714285715,-4.8,0.2,2.31,15.9,0.3,Good,30.0,Good,0.04,Good,13.0,Good,5.5,Good,False,0,0,0,1,0,0,37,Good
2014-02-09,2014,2,Sunday,7,7.0,190,27.142857142857142,1.4,7.4,0.42,10.9,0.6,Good,28.0,Good,0.032,Good,18.0,Good,3.5,Good,False,0,0,0,0,0,1,30,Good
2014-02-10,2014,2,Monday,42,36.0,720,20.0,-2.4,3.2,4.2,8.2,0.7,Good,36.0,Good,0.025,Good,9.0,Good,8.3,Good,False,0,0,0,0,0,0,35,Good
2014-02-11,2014,2,Tuesday,48,28.0,756,27.0,-6.8,0.0,0.0,8.8,0.9,Good,48.0,Good,0.03,Good,21.87727272727273,Good,7.2,Good,True,1,0,0,0,0,0,45,Good
2014-02-12,2014,2,Wednesday,36,29.0,572,19.724137931034484,-3.3,2.7,1.54,12.0,1.0,Good,42.0,Good,0.021,Good,21.87727272727273,Good,7.3,Good,True,0,1,0,0,0,0,40,Good
2014-02-13,2014,2,Thursday,16,10.0,345,34.5,3.9,2.7,0.0,8.4,1.0,Good,35.0,Good,0.022,Good,21.87727272727273,Good,4.8,Good,True,0,0,1,0,0,0,33,Good
2014-02-14,2014,2,Friday,27,21.0,468,22.285714285714285,3.2,1.6,0.0,9.8,1.4,Good,35.0,Good,0.009,Good,21.87727272727273,Good,7.3,Good,True,0,0,0,1,0,0,33,Good
2014-02-16,2014,2,Sunday,8,8.0,515,64.375,1.1,2.4,0.0,18.1,1.1,Good,30.0,Good,0.037,Good,21.87727272727273,Good,2.5,Good,True,0,0,0,0,0,1,34,Good
2014-02-17,2014,2,Monday,1,1.0,10,10.0,-6.4,0.0,0.0,15.5,1.1,Good,40.0,Good,0.022,Good,21.87727272727273,Good,6.3,Good,True,0,0,0,0,0,0,38,Good
2014-02-18,2014,2,Tuesday,43,39.0,785,20.128205128205128,0.3,0.0,0.0,9.9,1.0,Good,45.0,Good,0.035,Good,21.87727272727273,Good,5.5,Good,True,1,0,0,0,0,0,42,Good
2014-02-19,2014,2,Wednesday,43,33.0,768,23.272727272727277,-3.1,1.3,0.49,22.3,0.8,Good,40.0,Good,0.04,Good,21.87727272727273,Good,2.6,Good,True,0,1,0,0,0,0,38,Good
2014-02-20,2014,2,Thursday,32,22.0,535,24.318181818181817,-4.8,0.0,0.0,11.1,0.4,Good,39.0,Good,0.041,Good,21.87727272727273,Good,1.2,Good,True,0,0,1,0,0,0,38,Good
2014-02-21,2014,2,Friday,33,28.0,610,21.785714285714285,-2.1,0.0,0.0,10.9,0.9,Good,42.0,Good,0.041,Good,21.87727272727273,Good,4.0,Good,True,0,0,0,1,0,0,40,Good
2014-02-22,2014,2,Saturday,29,27.0,486,18.0,-2.8,0.0,0.0,12.2,0.8,Good,41.0,Good,0.039,Good,21.87727272727273,Good,3.6,Good,True,0,0,0,0,1,0,39,Good
2014-02-23,2014,2,Sunday,91,83.0,3214,38.72289156626506,-2.3,0.0,0.0,10.1,0.9,Good,36.0,Good,0.042,Good,21.87727272727273,Good,2.9,Good,True,0,0,0,0,0,1,39,Good
2014-02-24,2014,2,Monday,40,39.0,921,23.615384615384617,-1.2,0.0,0.0,8.1,0.8,Good,44.0,Good,0.043,Good,21.87727272727273,Good,3.8,Good,True,0,0,0,0,0,0,42,Good
2014-02-25,2014,2,Tuesday,29,18.0,440,24.444444444444443,-1.7,0.0,0.0,7.2,0.9,Good,64.0,Moderate,0.037,Good,21.87727272727273,Good,4.7,Good,True,1,0,0,0,0,0,62,Moderate
2014-02-26,2014,2,Wednesday,43,36.0,883,24.52777777777778,-0.8,0.0,0.0,8.1,0.8,Good,35.0,Good,0.034,Good,21.87727272727273,Good,3.4,Good,True,0,1,0,0,0,0,33,Good
2014-02-27,2014,2,Thursday,22,17.0,528,31.058823529411764,0.1,10.2,0.0,16.9,0.7,Good,35.0,Good,0.03,Good,21.87727272727273,Good,3.3,Good,True,0,0,1,0,0,0,33,Good
2014-02-28,2014,2,Friday,44,36.0,820,22.77777777777778,-1.6,1.5,0.0,19.7,0.9,Good,45.0,Good,0.031,Good,21.87727272727273,Good,4.5,Good,True,0,0,0,1,0,0,42,Good
2014-03-01,2014,3,Saturday,3,3.0,60,20.0,0.9,6.9,0.0,19.1,0.8,Good,29.0,Good,0.045,Good,8.0,Good,1.5,Good,False,0,0,0,0,1,0,42,Good
2014-03-02,2014,3,Sunday,41,40.0,1628,40.7,0.1,0.4,0.0,11.2,0.7,Good,30.0,Good,0.045,Good,14.0,Good,2.5,Good,False,0,0,0,0,0,1,42,Good
2014-03-03,2014,3,Monday,26,24.0,642,26.75,3.2,0.2,0.0,13.0,0.6,Good,34.0,Good,0.045,Good,6.0,Good,2.5,Good,False,0,0,0,0,0,0,42,Good
2014-03-04,2014,3,Tuesday,20,16.0,351,21.9375,1.6,5.8,1.61,12.7,0.9,Good,40.0,Good,0.028,Good,11.0,Good,5.3,Good,False,1,0,0,0,0,0,38,Good
2014-03-05,2014,3,Wednesday,45,36.0,976,27.11111111111111,-4.0,0.0,0.0,13.1,0.9,Good,41.0,Good,0.036,Good,9.0,Good,5.3,Good,False,0,1,0,0,0,0,39,Good
2014-03-06,2014,3,Thursday,64,40.0,1128,28.2,-0.2,6.3,0.0,12.4,0.9,Good,38.0,Good,0.04,Good,6.0,Good,4.5,Good,False,0,0,1,0,0,0,37,Good
2014-03-07,2014,3,Friday,30,27.0,548,20.296296296296298,1.2,1.9,0.49,16.2,0.6,Good,32.0,Good,0.039,Good,14.0,Good,2.4,Good,False,0,0,0,1,0,0,36,Good
2014-03-09,2014,3,Sunday,25,25.0,794,31.76,-3.3,0.0,0.0,14.6,0.8,Good,36.0,Good,0.046,Good,2.0,Good,2.9,Good,False,0,0,0,0,0,1,43,Good
2014-03-10,2014,3,Monday,16,16.0,370,23.125,1.0,0.8,0.0,18.8,0.8,Good,38.0,Good,0.044,Good,11.0,Good,4.4,Good,False,0,0,0,0,0,0,41,Good
2014-03-11,2014,3,Tuesday,46,40.0,1095,27.375,-1.5,0.2,0.91,17.1,0.5,Good,35.0,Good,0.038,Good,18.140562248995984,Good,2.7,Good,True,1,0,0,0,0,0,35,Good
2014-03-12,2014,3,Wednesday,24,22.0,485,22.045454545454547,-2.3,0.0,0.0,7.0,0.4,Good,44.0,Good,0.042,Good,18.140562248995984,Good,4.2,Good,True,0,1,0,0,0,0,42,Good
2014-03-13,2014,3,Thursday,18,16.0,335,20.9375,-1.7,0.0,0.0,9.2,0.5,Good,51.0,Good,0.045,Good,18.140562248995984,Good,4.5,Good,True,0,0,1,0,0,0,48,Good
2014-03-14,2014,3,Friday,16,13.0,360,27.692307692307693,-1.0,1.3,0.0,16.3,0.5,Good,47.0,Good,0.045,Good,18.140562248995984,Good,4.6,Good,True,0,0,0,1,0,0,44,Good
2014-03-16,2014,3,Sunday,15,9.0,245,27.22222222222222,-0.8,0.0,0.0,12.2,0.3,Good,38.0,Good,0.049,Good,18.140562248995984,Good,2.8,Good,True,0,0,0,0,0,1,45,Good
2014-03-17,2014,3,Monday,58,52.0,1344,25.846153846153847,-2.6,0.0,0.07,30.3,0.3,Good,49.0,Good,0.046,Good,18.140562248995984,Good,4.6,Good,True,0,0,0,0,0,0,46,Good
2014-03-18,2014,3,Tuesday,20,18.0,363,20.166666666666668,-3.3,0.0,0.0,13.7,0.3,Good,32.0,Good,0.036,Good,18.140562248995984,Good,3.2,Good,True,1,0,0,0,0,0,33,Good
2014-03-19,2014,3,Wednesday,39,31.0,860,27.741935483870968,-2.6,0.0,0.0,12.2,0.4,Good,71.0,Moderate,0.046,Good,18.140562248995984,Good,3.4,Good,True,0,1,0,0,0,0,69,Moderate
2014-03-20,2014,3,Thursday,19,16.0,343,21.4375,-0.4,0.0,0.0,9.9,0.5,Good,48.0,Good,0.043,Good,18.140562248995984,Good,3.5,Good,True,0,0,1,0,0,0,45,Good
2014-03-21,2014,3,Friday,18,13.0,270,20.76923076923077,1.8,0.0,0.0,12.6,0.3,Good,40.0,Good,0.039,Good,18.140562248995984,Good,5.7,Good,True,0,0,0,1,0,0,38,Good
2014-03-22,2014,3,Saturday,2,1.0,50,50.0,2.0,0.0,0.14,11.4,0.3,Good,42.0,Good,0.051,Good,18.140562248995984,Good,4.7,Good,True,0,0,0,0,1,0,47,Good
2014-03-23,2014,3,Sunday,25,24.0,1126,46.91666666666666,-1.3,0.0,0.0,12.7,0.3,Good,32.0,Good,0.054,Good,18.140562248995984,Good,4.6,Good,True,0,0,0,0,0,1,50,Good
2014-03-24,2014,3,Monday,13,8.0,170,21.25,3.1,0.0,0.0,8.6,0.4,Good,58.0,Moderate,0.052,Good,18.140562248995984,Good,6.6,Good,True,0,0,0,0,0,0,55,Moderate
2014-03-25,2014,3,Tuesday,17,15.0,446,29.73333333333333,0.0,0.0,0.0,16.6,0.4,Good,45.0,Good,0.05,Good,18.140562248995984,Good,6.2,Good,True,1,0,0,0,0,0,46,Good
2014-03-26,2014,3,Wednesday,38,33.0,892,27.03030303030303,2.5,2.2,0.14,13.8,0.3,Good,30.0,Good,0.044,Good,18.140562248995984,Good,3.5,Good,True,0,1,0,0,0,0,41,Good
2014-03-27,2014,3,Thursday,49,42.0,868,20.666666666666668,0.1,3.2,0.63,9.7,0.3,Good,24.0,Good,0.043,Good,18.140562248995984,Good,1.4,Good,True,0,0,1,0,0,0,40,Good
2014-03-28,2014,3,Friday,56,44.0,1009,22.931818181818183,-0.3,0.0,0.0,12.8,0.4,Good,34.0,Good,0.047,Good,18.140562248995984,Good,2.7,Good,True,0,0,0,1,0,0,44,Good
2014-03-30,2014,3,Sunday,55,51.0,1910,37.45098039215687,2.4,5.5,2.52,23.3,0.3,Good,13.0,Good,0.051,Good,18.140562248995984,Good,4.0,Good,True,0,0,0,0,0,1,47,Good
2014-03-31,2014,3,Monday,10,9.0,280,31.11111111111111,-1.5,0.2,0.0,12.6,0.4,Good,40.0,Good,0.043,Good,18.140562248995984,Good,2.0,Good,True,0,0,0,0,0,0,40,Good
2014-04-01,2014,4,Tuesday,5,5.0,84,16.8,0.3,5.3,0.77,19.2,0.3,Good,25.0,Good,0.049,Good,6.0,Good,3.9,Good,False,1,0,0,0,0,0,45,Good
2014-04-02,2014,4,Wednesday,40,37.0,917,24.783783783783782,-0.8,0.3,0.49,6.8,0.4,Good,32.0,Good,0.045,Good,7.0,Good,3.3,Good,False,0,1,0,0,0,0,42,Good
2014-04-03,2014,4,Thursday,18,14.0,437,31.214285714285715,-2.6,1.3,0.0,6.9,0.3,Good,33.0,Good,0.05,Good,13.0,Good,4.3,Good,False,0,0,1,0,0,0,46,Good
2014-04-04,2014,4,Friday,23,17.0,418,24.58823529411765,-1.4,0.0,0.0,13.0,0.5,Good,51.0,Good,0.048,Good,22.0,Good,3.7,Good,False,0,0,0,1,0,0,48,Good
2014-04-07,2014,4,Monday,40,29.0,630,21.724137931034484,5.0,0.0,0.0,10.9,0.4,Good,29.0,Good,0.049,Good,23.0,Good,5.0,Good,False,0,0,0,0,0,0,45,Good
2014-04-08,2014,4,Tuesday,17,15.0,362,24.133333333333333,3.2,0.0,0.0,10.2,0.6,Good,33.0,Good,0.044,Good,6.0,Good,5.1,Good,False,1,0,0,0,0,0,41,Good
2014-04-09,2014,4,Wednesday,22,17.0,568,33.411764705882355,3.3,0.0,0.0,10.8,0.4,Good,36.0,Good,0.047,Good,11.0,Good,5.0,Good,False,0,1,0,0,0,0,44,Good
2014-04-10,2014,4,Thursday,11,6.0,150,25.0,9.0,0.0,0.0,10.2,0.4,Good,27.0,Good,0.055,Moderate,9.0,Good,5.2,Good,False,0,0,1,0,0,0,51,Moderate
2014-04-11,2014,4,Friday,22,18.0,659,36.61111111111112,5.2,0.0,0.0,8.4,0.4,Good,33.0,Good,0.053,Good,30.172,Good,7.0,Good,True,0,0,0,1,0,0,49,Good
2014-04-13,2014,4,Sunday,29,27.0,1320,48.888888888888886,4.4,3.1,0.21,27.9,0.3,Good,13.0,Good,0.043,Good,30.172,Good,3.6,Good,True,0,0,0,0,0,1,40,Good
2014-04-14,2014,4,Monday,43,40.0,855,21.375,2.3,0.0,0.0,10.9,0.4,Good,38.0,Good,0.05,Good,30.172,Good,4.8,Good,True,0,0,0,0,0,0,46,Good
2014-04-15,2014,4,Tuesday,30,26.0,592,22.76923076923077,2.6,0.0,0.0,19.4,0.5,Good,54.0,Moderate,0.05,Good,30.172,Good,4.4,Good,True,1,0,0,0,0,0,51,Moderate
2014-04-16,2014,4,Wednesday,7,6.0,470,78.33333333333333,6.6,0.0,0.0,13.0,0.3,Good,28.0,Good,0.058,Moderate,30.172,Good,3.7,Good,True,0,1,0,0,0,0,61,Moderate
2014-04-17,2014,4,Thursday,36,33.0,596,18.060606060606062,3.9,0.0,0.0,13.1,0.5,Good,39.0,Good,0.054,Good,30.172,Good,4.0,Good,True,0,0,1,0,0,0,50,Good
2014-04-18,2014,4,Friday,81,18.0,485,26.944444444444443,4.9,0.0,0.0,15.5,0.5,Good,45.0,Good,0.049,Good,30.172,Good,5.6,Good,True,0,0,0,1,0,0,45,Good
2014-04-20,2014,4,Sunday,1,1.0,6,6.0,8.3,0.0,0.0,12.2,0.5,Good,26.0,Good,0.059,Moderate,30.172,Good,6.9,Good,True,0,0,0,0,0,1,64,Moderate
2014-04-21,2014,4,Monday,2,1.0,30,30.0,6.8,0.0,0.0,13.0,0.4,Good,35.0,Good,0.058,Moderate,30.172,Good,8.5,Good,True,0,0,0,0,0,0,61,Moderate
2014-04-22,2014,4,Tuesday,62,43.0,996,23.162790697674417,6.9,2.0,0.0,37.8,0.4,Good,43.0,Good,0.055,Moderate,30.172,Good,14.5,Moderate,True,1,0,0,0,0,0,56,Moderate
2014-04-23,2014,4,Wednesday,26,13.0,265,20.384615384615383,1.9,3.0,0.91,16.3,0.3,Good,33.0,Good,0.047,Good,30.172,Good,4.2,Good,True,0,1,0,0,0,0,44,Good
2014-04-24,2014,4,Thursday,22,21.0,422,20.09523809523809,2.7,0.0,0.0,15.4,0.4,Good,43.0,Good,0.051,Good,30.172,Good,3.0,Good,True,0,0,1,0,0,0,47,Good
2014-04-25,2014,4,Friday,27,22.0,585,26.59090909090909,7.0,1.0,0.0,25.5,0.4,Good,31.0,Good,0.058,Moderate,30.172,Good,11.4,Good,True,0,0,0,1,0,0,61,Moderate
2014-04-28,2014,4,Monday,13,13.0,275,21.153846153846157,-0.1,1.6,1.47,21.6,0.3,Good,25.0,Good,0.05,Good,30.172,Good,2.7,Good,True,0,0,0,0,0,0,46,Good
2014-04-29,2014,4,Tuesday,22,12.0,310,25.83333333333333,1.9,0.0,0.0,22.7,0.3,Good,37.0,Good,0.051,Good,30.172,Good,5.7,Good,True,1,0,0,0,0,0,47,Good
2014-04-30,2014,4,Wednesday,26,19.0,391,20.57894736842105,2.3,0.0,0.0,18.3,0.5,Good,40.0,Good,0.056,Moderate,30.172,Good,5.1,Good,True,0,1,0,0,0,0,54,Moderate
2014-05-01,2014,5,Thursday,33,27.0,578,21.40740740740741,3.1,0.0,0.0,14.2,0.5,Good,62.0,Moderate,0.043,Good,16.0,Good,4.8,Good,False,0,0,1,0,0,0,60,Moderate
2014-05-02,2014,5,Friday,73,66.0,1473,22.318181818181817,3.9,0.0,0.0,11.6,0.5,Good,37.0,Good,0.056,Moderate,24.0,Good,4.8,Good,False,0,0,0,1,0,0,54,Moderate
2014-05-05,2014,5,Monday,30,11.0,226,20.545454545454547,13.7,0.0,0.0,13.9,0.4,Good,53.0,Good,0.055,Moderate,12.0,Good,6.5,Good,False,0,0,0,0,0,0,51,Moderate
2014-05-06,2014,5,Tuesday,46,21.0,460,21.904761904761905,10.3,2.9,0.0,15.4,0.4,Good,32.0,Good,0.054,Good,22.0,Good,8.9,Good,False,1,0,0,0,0,0,50,Good
2014-05-07,2014,5,Wednesday,39,28.0,703,25.107142857142858,4.7,8.9,0.0,9.6,0.4,Good,18.0,Good,0.058,Moderate,30.0,Good,3.7,Good,False,0,1,0,0,0,0,61,Moderate
2014-05-08,2014,5,Thursday,36,29.0,768,26.48275862068965,2.8,1.0,0.0,10.4,0.4,Good,22.0,Good,0.048,Good,23.0,Good,2.2,Good,False,0,0,1,0,0,0,44,Good
2014-05-09,2014,5,Friday,20,16.0,356,22.25,7.4,8.2,0.0,10.5,0.5,Good,29.0,Good,0.046,Good,15.0,Good,3.9,Good,False,0,0,0,1,0,0,43,Good
2014-05-12,2014,5,Monday,45,26.0,640,24.615384615384617,3.8,0.9,0.0,17.6,0.6,Good,27.0,Good,0.047,Good,24.968503937007878,Good,2.6,Good,True,0,0,0,0,0,0,44,Good
2014-05-13,2014,5,Tuesday,42,28.0,818,29.214285714285715,1.0,0.0,0.0,10.5,0.5,Good,34.0,Good,0.051,Good,24.968503937007878,Good,3.1,Good,True,1,0,0,0,0,0,47,Good
2014-05-14,2014,5,Wednesday,25,20.0,432,21.6,4.9,0.0,0.0,9.7,0.3,Good,31.0,Good,0.053,Good,24.968503937007878,Good,4.1,Good,True,0,1,0,0,0,0,49,Good
2014-05-15,2014,5,Thursday,22,18.0,541,30.05555555555556,8.1,0.0,0.0,8.4,0.3,Good,27.0,Good,0.054,Good,24.968503937007878,Good,4.1,Good,True,0,0,1,0,0,0,50,Good
2014-05-16,2014,5,Friday,34,28.0,841,30.035714285714285,9.7,0.0,0.0,12.5,0.3,Good,32.0,Good,0.054,Good,24.968503937007878,Good,6.6,Good,True,0,0,0,1,0,0,50,Good
2014-05-19,2014,5,Monday,47,34.0,757,22.264705882352946,11.4,0.0,0.0,12.6,0.3,Good,36.0,Good,0.055,Moderate,24.968503937007878,Good,7.3,Good,True,0,0,0,0,0,0,51,Moderate
2014-05-20,2014,5,Tuesday,28,18.0,437,24.27777777777778,9.9,0.0,0.0,23.9,0.3,Good,26.0,Good,0.056,Moderate,24.968503937007878,Good,7.3,Good,True,1,0,0,0,0,0,54,Moderate
2014-05-21,2014,5,Wednesday,48,38.0,775,20.394736842105264,11.1,0.0,0.0,22.6,0.3,Good,25.0,Good,0.055,Moderate,24.968503937007878,Good,6.1,Good,True,0,1,0,0,0,0,51,Moderate
2014-05-22,2014,5,Thursday,17,13.0,286,22.0,10.8,0.0,0.0,16.2,0.3,Good,31.0,Good,0.055,Moderate,24.968503937007878,Good,8.0,Good,True,0,0,1,0,0,0,51,Moderate
2014-05-23,2014,5,Friday,8,6.0,200,33.333333333333336,12.2,0.0,0.0,18.4,0.3,Good,28.0,Good,0.039,Good,24.968503937007878,Good,6.9,Good,True,0,0,0,1,0,0,36,Good
2014-05-25,2014,5,Sunday,1,1.0,20,20.0,10.0,0.0,0.0,14.2,0.3,Good,19.0,Good,0.059,Moderate,24.968503937007878,Good,7.0,Good,True,0,0,0,0,0,1,64,Moderate
2014-05-27,2014,5,Tuesday,22,10.0,472,47.2,11.8,0.0,0.0,11.2,0.3,Good,51.0,Good,0.055,Moderate,24.968503937007878,Good,6.7,Good,True,1,0,0,0,0,0,51,Moderate
2014-05-28,2014,5,Wednesday,12,9.0,227,25.22222222222222,13.4,0.0,0.0,29.2,0.3,Good,31.0,Good,0.053,Good,24.968503937007878,Good,9.5,Good,True,0,1,0,0,0,0,49,Good
2014-05-29,2014,5,Thursday,62,31.0,731,23.580645161290324,12.8,0.0,0.0,12.4,0.3,Good,23.0,Good,0.051,Good,24.968503937007878,Good,9.4,Good,True,0,0,1,0,0,0,47,Good
2014-05-30,2014,5,Friday,57,47.0,1008,21.4468085106383,14.4,0.0,0.0,15.5,0.3,Good,27.0,Good,0.053,Good,24.968503937007878,Good,7.1,Good,True,0,0,0,1,0,0,49,Good
2014-06-02,2014,6,Monday,13,9.0,272,30.22222222222222,12.7,0.0,0.0,15.2,0.3,Good,25.0,Good,0.067,Moderate,30.0,Good,6.4,Good,False,0,0,0,0,0,0,90,Moderate
2014-06-03,2014,6,Tuesday,9,4.0,83,20.75,18.4,0.0,0.0,13.0,0.3,Good,16.0,Good,0.063,Moderate,23.0,Good,7.4,Good,False,1,0,0,0,0,0,77,Moderate
2014-06-04,2014,6,Wednesday,23,13.0,342,26.307692307692307,14.8,0.2,0.0,13.4,0.3,Good,28.0,Good,0.066,Moderate,34.0,Good,9.4,Good,False,0,1,0,0,0,0,87,Moderate
2014-06-05,2014,6,Thursday,25,17.0,406,23.88235294117647,15.2,0.0,0.0,14.0,0.3,Good,22.0,Good,0.066,Moderate,52.0,Good,7.7,Good,False,0,0,1,0,0,0,87,Moderate
2014-06-06,2014,6,Friday,4,4.0,188,47.0,14.6,0.0,0.0,10.1,0.3,Good,23.0,Good,0.055,Moderate,30.0,Good,5.7,Good,False,0,0,0,1,0,0,51,Moderate
