Citation,License Plate/Vin,Fine,Issued,CitationText,Unpaid,Officer,Residence,IssuedDate,IssuedTime
P1-00089,UT A413ES,0.0,"Jun 16, 2010 01:19 PM",,False,1,UT,2010-06-16,01:19 PM
P1-00090,AZ ABH0282,0.0,"Jun 16, 2010 01:22 PM",,False,1,AZ,2010-06-16,01:22 PM
P1-00091,FL 611HBE,30.0,"Jun 16, 2010 01:25 PM",APPEAL TIME LIMIT EXPIRED,True,1,FL,2010-06-16,01:25 PM
P1-00092,AZ ABH0282,20.0,"Jun 16, 2010 01:27 PM",,False,1,AZ,2010-06-16,01:27 PM
P1-00093,AZ ABH0282,20.0,"Jun 16, 2010 01:30 PM",,False,1,AZ,2010-06-16,01:30 PM
P1-00094,UT A413ES,20.0,"Jun 16, 2010 01:32 PM",,False,1,UT,2010-06-16,01:32 PM
P1-00095,NV 731TSK,0.0,"Jun 16, 2010 01:50 PM",,False,1,NV,2010-06-16,01:50 PM
P1-00096,NV 731TSK,0.0,"Jun 16, 2010 01:52 PM",,False,1,NV,2010-06-16,01:52 PM
P1-00097,ID 1M77168,0.0,"Jun 16, 2010 01:59 PM",,False,1,ID,2010-06-16,01:59 PM
P1-00098,UT Z907LD,0.0,"Jun 16, 2010 02:03 PM",,False,1,UT,2010-06-16,02:03 PM
P1-00099,UT Z174KT,0.0,"Jun 16, 2010 02:15 PM",,False,1,UT,2010-06-16,02:15 PM
P1-00100,WA 068XQW,0.0,"Jun 16, 2010 02:18 PM",,False,1,WA,2010-06-16,02:18 PM
P1-00101,MT 3C6655G,50.0,"Jun 16, 2010 02:26 PM",APPEAL TIME LIMIT EXPIRED,True,1,MT,2010-06-16,02:26 PM
P1-00102,MT 3C6655G,50.0,"Jun 16, 2010 02:28 PM",APPEAL TIME LIMIT EXPIRED,True,1,MT,2010-06-16,02:28 PM
P1-00103,CA 18C8856,0.0,"Jun 16, 2010 03:21 PM",,False,1,CA,2010-06-16,03:21 PM
P1-00104,UT A821TN,0.0,"Jun 21, 2010 08:42 AM",,False,1,UT,2010-06-21,08:42 AM
P1-00105,UT ADN4621,30.0,"Jun 21, 2010 09:08 AM",APPEAL TIME LIMIT EXPIRED,True,1,UT,2010-06-21,09:08 AM
P1-00106,UT A58VG,10.0,"Jun 21, 2010 09:27 AM",,False,1,UT,2010-06-21,09:27 AM
P1-00107,UT 018VWW,5.0,"Jun 21, 2010 09:53 AM",,False,1,UT,2010-06-21,09:53 AM
P1-00108,UT Z192VG,30.0,"Jun 21, 2010 10:10 AM",,False,1,UT,2010-06-21,10:10 AM
P1-00109,TX PPT474,0.0,"Jun 21, 2010 10:13 AM",,False,1,TX,2010-06-21,10:13 AM
P1-00110,TX PPT474,0.0,"Jun 21, 2010 10:15 AM",,False,1,TX,2010-06-21,10:15 AM
P1-00111,UT 611MZL,30.0,"Jun 21, 2010 10:23 AM",,False,1,UT,2010-06-21,10:23 AM
P1-00112,UT 394ZHU,20.0,"Jun 21, 2010 10:30 AM",,False,1,UT,2010-06-21,10:30 AM
P1-00113,UT B004LF,0.0,"Jun 21, 2010 10:35 AM",,False,1,UT,2010-06-21,10:35 AM
P1-00114,UT Z114TS,0.0,"Jun 21, 2010 10:36 AM",,False,1,UT,2010-06-21,10:36 AM
P1-00115,UT B056DT,13.0,"Jun 21, 2010 10:46 AM",,False,1,UT,2010-06-21,10:46 AM
P1-00116,OR 808DAK,30.0,"Jun 21, 2010 10:48 AM",,False,1,OR,2010-06-21,10:48 AM
P1-00117,VA KGK9908,0.0,"Jun 21, 2010 10:51 AM",,False,1,VA,2010-06-21,10:51 AM
P1-00118,UT 095YXG,0.0,"Jun 21, 2010 10:53 AM",,False,1,UT,2010-06-21,10:53 AM
P1-00119,OR 947EGY,0.0,"Jun 21, 2010 10:54 AM",,False,1,OR,2010-06-21,10:54 AM
P1-00120,OR 947EGY,0.0,"Jun 21, 2010 10:56 AM",,False,1,OR,2010-06-21,10:56 AM
P1-00121,UT B160JD,0.0,"Jun 21, 2010 10:58 AM",,False,1,UT,2010-06-21,10:58 AM
P1-00123,UT A036YC,30.0,"Jun 22, 2010 10:38 AM",,False,1,UT,2010-06-22,10:38 AM
P1-00124,UT 734LMK,30.0,"Jun 22, 2010 10:48 AM",,False,1,UT,2010-06-22,10:48 AM
P1-00125,CA 7X78159,0.0,"Jun 22, 2010 10:53 AM",,False,1,CA,2010-06-22,10:53 AM
P1-00126,CA 7X78159,30.0,"Jun 22, 2010 10:56 AM",,False,1,CA,2010-06-22,10:56 AM
P1-00127,UT A465YK,20.0,"Jun 22, 2010 11:00 AM",,False,1,UT,2010-06-22,11:00 AM
P1-00128,UT A637HA,0.0,"Jun 22, 2010 11:12 AM",,False,1,UT,2010-06-22,11:12 AM
P1-00129,UT A246TZ,30.0,"Jun 22, 2010 11:15 AM",,False,1,UT,2010-06-22,11:15 AM
P1-00130,UT B011KJ,0.0,"Jun 22, 2010 11:18 AM",,False,1,UT,2010-06-22,11:18 AM
P1-00131,UT B253KJ,7.0,"Jun 22, 2010 11:19 AM",,False,1,UT,2010-06-22,11:19 AM
P1-00132,UT B827KK,0.0,"Jun 22, 2010 11:22 AM",,False,1,UT,2010-06-22,11:22 AM
P1-00133,UT B827KK,0.0,"Jun 22, 2010 11:24 AM",,False,1,UT,2010-06-22,11:24 AM
P1-00134,UT 612UWN,10.0,"Jun 22, 2010 11:30 AM",,False,1,UT,2010-06-22,11:30 AM
P1-00135,UT TEST3,0.0,"Jun 23, 2010 08:44 AM",,False,1,UT,2010-06-23,08:44 AM
P1-00136,KS XIH454,7.0,"Jun 23, 2010 09:03 AM",,False,1,KS,2010-06-23,09:03 AM
P1-00137,UT TEST3,0.0,"Jun 23, 2010 11:36 AM",,False,1,UT,2010-06-23,11:36 AM
P1-00138,UT Z33PX,0.0,"Jun 23, 2010 11:50 AM",,False,1,UT,2010-06-23,11:50 AM
P1-00139,UT A43GE,30.0,"Jun 23, 2010 11:57 AM",,False,1,UT,2010-06-23,11:57 AM
P1-00140,UT Z02SW,0.0,"Jun 23, 2010 12:00 PM",,False,1,UT,2010-06-23,12:00 PM
P1-00141,UT TEST3,0.0,"Jun 23, 2010 01:41 PM",,False,1,UT,2010-06-23,01:41 PM
P1-00142,CA 5HUE801,0.0,"Jun 23, 2010 02:14 PM",,False,1,CA,2010-06-23,02:14 PM
P1-00143,VA XVT1872,20.0,"Jun 23, 2010 02:18 PM",,False,1,VA,2010-06-23,02:18 PM
P1-00144,CA 5HUE801,20.0,"Jun 23, 2010 02:20 PM",,False,1,CA,2010-06-23,02:20 PM
P1-00145,TX KWP296,0.0,"Jun 23, 2010 02:39 PM",,False,1,TX,2010-06-23,02:39 PM
P1-00146,WA 700WII,7.0,"Jun 23, 2010 02:44 PM",,False,1,WA,2010-06-23,02:44 PM
P1-00147,UT B005KJ,10.0,"Jun 23, 2010 02:57 PM",,False,1,UT,2010-06-23,02:57 PM
P1-00148,NC DRF724,0.0,"Jun 23, 2010 03:08 PM",,False,1,NC,2010-06-23,03:08 PM
P1-00149,UT 371VKV,20.0,"Jun 24, 2010 08:47 AM",,False,1,UT,2010-06-24,08:47 AM
P1-00150,UT 561WAC,30.0,"Jun 24, 2010 08:53 AM",APPEAL TIME LIMIT EXPIRED,True,1,UT,2010-06-24,08:53 AM
P1-00151,UT 890VVK,0.0,"Jun 24, 2010 09:28 AM",,False,1,UT,2010-06-24,09:28 AM
P1-00152,ID 1M72512,0.0,"Jun 24, 2010 09:30 AM",,False,1,ID,2010-06-24,09:30 AM
P1-00153,UT 987VHZ,20.0,"Jun 24, 2010 09:32 AM",,False,1,UT,2010-06-24,09:32 AM
P1-00154,UT B185ET,30.0,"Jun 24, 2010 10:22 AM",APPEAL TIME LIMIT EXPIRED,True,1,UT,2010-06-24,10:22 AM
P1-00155,ID 1M68308,0.0,"Jun 24, 2010 10:31 AM",,False,1,ID,2010-06-24,10:31 AM
P1-00157,UT 773UVP,0.0,"Jun 25, 2010 08:05 AM",,False,1,UT,2010-06-25,08:05 AM
P1-00158,UT 773UVP,20.0,"Jun 25, 2010 08:07 AM",,False,1,UT,2010-06-25,08:07 AM
P1-00159,UT 444PHN,0.0,"Jun 25, 2010 08:15 AM",,False,1,UT,2010-06-25,08:15 AM
P1-00160,UT 041VET,0.0,"Jun 25, 2010 08:25 AM",,False,1,UT,2010-06-25,08:25 AM
P1-00161,UT 041VET,0.0,"Jun 25, 2010 08:31 AM",,False,1,UT,2010-06-25,08:31 AM
P1-00162,CA 4VUF540,10.0,"Jun 25, 2010 08:35 AM",,False,1,CA,2010-06-25,08:35 AM
P1-00163,UT B940KG,30.0,"Jun 25, 2010 08:42 AM",,False,1,UT,2010-06-25,08:42 AM
P1-00164,UT Z357EF,0.0,"Jun 25, 2010 08:50 AM",,False,1,UT,2010-06-25,08:50 AM
P1-00165,UT Z357EF,0.0,"Jun 25, 2010 08:52 AM",,False,1,UT,2010-06-25,08:52 AM
P1-00166,UT A467KT,0.0,"Jun 25, 2010 08:54 AM",,False,1,UT,2010-06-25,08:54 AM
P1-00167,UT 371VKV,50.0,"Jun 25, 2010 09:38 AM",,False,1,UT,2010-06-25,09:38 AM
P1-00169,UT A336ZK,20.0,"Jun 25, 2010 09:54 AM",,False,1,UT,2010-06-25,09:54 AM
P1-00170,AZ 511PDA,20.0,"Jun 25, 2010 09:58 AM",,False,1,AZ,2010-06-25,09:58 AM
P1-00171,AZ AJJ5600,0.0,"Jun 25, 2010 10:01 AM",,False,1,AZ,2010-06-25,10:01 AM
P1-00172,AZ AJJ5660,8.0,"Jun 25, 2010 10:03 AM",,False,1,AZ,2010-06-25,10:03 AM
P1-00173,UT 029VKE,10.0,"Jun 25, 2010 10:05 AM",,False,1,UT,2010-06-25,10:05 AM
P1-00174,UT Z819TY,30.0,"Jun 25, 2010 10:15 AM",,False,1,UT,2010-06-25,10:15 AM
P1-00175,UT Z180MM,0.0,"Jun 25, 2010 10:17 AM",,False,1,UT,2010-06-25,10:17 AM
P1-00176,UT 564VAA,30.0,"Jun 25, 2010 10:19 AM",,False,1,UT,2010-06-25,10:19 AM
P1-00177,UT A290KT,30.0,"Jun 25, 2010 10:20 AM",,False,1,UT,2010-06-25,10:20 AM
P1-00178,UT 867VNK,30.0,"Jun 25, 2010 10:24 AM",APPEAL TIME LIMIT EXPIRED,True,1,UT,2010-06-25,10:24 AM
P1-00179,ID 8BW2330,30.0,"Jun 25, 2010 10:27 AM",APPEAL TIME LIMIT EXPIRED,True,1,ID,2010-06-25,10:27 AM
P1-00180,UT 457NLC,30.0,"Jun 25, 2010 10:28 AM",,False,1,UT,2010-06-25,10:28 AM
P1-00181,ID 8BY3615,30.0,"Jun 25, 2010 10:29 AM",,False,1,ID,2010-06-25,10:29 AM
P1-00182,UT Z412PW,30.0,"Jun 25, 2010 10:32 AM",,False,1,UT,2010-06-25,10:32 AM
P1-00183,UT A328EY,30.0,"Jun 25, 2010 10:38 AM",,False,1,UT,2010-06-25,10:38 AM
P1-00184,ID 2CGB365,0.0,"Jun 25, 2010 10:39 AM",,False,1,ID,2010-06-25,10:39 AM
P1-00185,ID 491ACU,30.0,"Jun 25, 2010 10:40 AM",,False,1,ID,2010-06-25,10:40 AM
P1-00186,UT 9217T,0.0,"Jun 25, 2010 10:41 AM",,False,1,UT,2010-06-25,10:41 AM
P1-00187,UT Z917VR,30.0,"Jun 25, 2010 10:43 AM",,False,1,UT,2010-06-25,10:43 AM
P1-00188,UT 903VGV,30.0,"Jun 25, 2010 10:44 AM",,False,1,UT,2010-06-25,10:44 AM
P1-00189,UT 326MUX,0.0,"Jun 25, 2010 10:46 AM",,False,1,UT,2010-06-25,10:46 AM
P1-00190,UT 208VTS,0.0,"Jun 25, 2010 10:47 AM",,False,1,UT,2010-06-25,10:47 AM
P1-00192,UT 182WZR,0.0,"Jun 28, 2010 08:01 PM",,False,1,UT,2010-06-28,08:01 PM
P1-00193,UT A620UX,0.0,"Jun 29, 2010 11:09 AM",,False,1,UT,2010-06-29,11:09 AM
P1-00194,CA 4VLJ111,0.0,"Jun 29, 2010 11:16 AM",,False,1,CA,2010-06-29,11:16 AM
P1-00195,UT A080EP,30.0,"Jun 29, 2010 11:20 AM",,False,1,UT,2010-06-29,11:20 AM
P1-00196,UT 029MPN,30.0,"Jun 29, 2010 11:23 AM",,False,1,UT,2010-06-29,11:23 AM
P1-00197,WA AAL5055,0.0,"Jun 29, 2010 11:26 AM",,False,1,WA,2010-06-29,11:26 AM
P1-00198,UT B630KG,30.0,"Jun 29, 2010 11:35 AM",,False,1,UT,2010-06-29,11:35 AM
P1-00199,UT B056DT,0.0,"Jun 29, 2010 11:37 AM",,False,1,UT,2010-06-29,11:37 AM
P1-00200,AZ AEC4092,0.0,"Jun 29, 2010 11:40 AM",,False,1,AZ,2010-06-29,11:40 AM
P1-00201,UT B184KB,30.0,"Jun 29, 2010 11:41 AM",APPEAL TIME LIMIT EXPIRED,True,1,UT,2010-06-29,11:41 AM
P1-00202,UT Z205GJ,0.0,"Jun 29, 2010 12:22 PM",,False,1,UT,2010-06-29,12:22 PM
P1-00203,UT B118GW,0.0,"Jun 29, 2010 12:26 PM",,False,1,UT,2010-06-29,12:26 PM
P1-00204,AZ WHIT,30.0,"Jun 29, 2010 12:41 PM",,False,1,AZ,2010-06-29,12:41 PM
P1-00205,AZ AHP3591,10.0,"Jun 29, 2010 12:45 PM",,False,1,AZ,2010-06-29,12:45 PM
P1-00206,UT B101BM,0.0,"Jun 29, 2010 12:47 PM",,False,1,UT,2010-06-29,12:47 PM
P1-00208,UT 547WSG,0.0,"Jun 29, 2010 01:05 PM",,False,1,UT,2010-06-29,01:05 PM
P1-00211,UT 953UNL,0.0,"Jun 30, 2010 09:53 AM",,False,1,UT,2010-06-30,09:53 AM
P1-00212,KS 181BIU,0.0,"Jun 30, 2010 10:19 AM",,False,1,KS,2010-06-30,10:19 AM
P1-00213,KS 181BIU,20.0,"Jun 30, 2010 10:21 AM",,False,1,KS,2010-06-30,10:21 AM
P1-00214,UT B089ET,15.0,"Jun 30, 2010 10:29 AM",,False,1,UT,2010-06-30,10:29 AM
P1-00215,CO 785JWT,50.0,"Jun 30, 2010 11:10 AM",,False,1,CO,2010-06-30,11:10 AM
P1-00216,UT Z757RU,20.0,"Jun 30, 2010 11:53 AM",,False,1,UT,2010-06-30,11:53 AM
P1-00217,UT 916NFN,20.0,"Jun 30, 2010 11:57 AM",,False,1,UT,2010-06-30,11:57 AM
P1-00218,UT Z029UA,0.0,"Jul 01, 2010 08:55 AM",,False,1,UT,2010-07-01,08:55 AM
P1-00219,UT B327AR,50.0,"Jul 01, 2010 09:25 AM",,False,1,UT,2010-07-01,09:25 AM
P1-00220,UT Z940EP,0.0,"Jul 01, 2010 09:53 AM",,False,1,UT,2010-07-01,09:53 AM
P1-00221,UT 427PMA,30.0,"Jul 01, 2010 10:37 AM",,False,1,UT,2010-07-01,10:37 AM
P1-00222,UT B114KZ,0.0,"Jul 01, 2010 10:52 AM",,False,1,UT,2010-07-01,10:52 AM
P1-00223,ID 1F29099,20.0,"Jul 01, 2010 11:08 AM",,False,1,ID,2010-07-01,11:08 AM
P1-00224,NV 014RBB,30.0,"Jul 01, 2010 01:56 PM",,False,1,NV,2010-07-01,01:56 PM
P1-00225,** 1GKU544479,0.0,"Jul 01, 2010 02:06 PM",,False,1,**,2010-07-01,02:06 PM
P1-00226,AZ 1GKU542704,30.0,"Jul 01, 2010 02:09 PM",APPEAL TIME LIMIT EXPIRED,True,1,AZ,2010-07-01,02:09 PM
P1-00227,CA 6KKW164,30.0,"Jul 02, 2010 01:17 PM",APPEAL TIME LIMIT EXPIRED,True,1,CA,2010-07-02,01:17 PM
P1-00228,WA 514WFY,30.0,"Jul 02, 2010 01:28 PM",,False,1,WA,2010-07-02,01:28 PM
P1-00230,UT 104ULU,20.0,"Jul 06, 2010 08:05 AM",,False,1,UT,2010-07-06,08:05 AM
P1-00231,CA 5ZXA703,0.0,"Jul 06, 2010 08:16 AM",,False,1,CA,2010-07-06,08:16 AM
P1-00232,VA KBB8197,20.0,"Jul 06, 2010 08:26 AM",,False,1,VA,2010-07-06,08:26 AM
P1-00233,TX BB9H962,11.0,"Jul 06, 2010 08:29 AM",,False,1,TX,2010-07-06,08:29 AM
P1-00234,MI BXR6481,20.0,"Jul 06, 2010 08:31 AM",,False,1,MI,2010-07-06,08:31 AM
P1-00235,CO 865SNV,30.0,"Jul 06, 2010 08:33 AM",APPEAL TIME LIMIT EXPIRED,True,1,CO,2010-07-06,08:33 AM
P1-00236,CO 865SNV,10.0,"Jul 06, 2010 08:35 AM",,False,1,CO,2010-07-06,08:35 AM
P1-00237,UT A172KM,30.0,"Jul 06, 2010 08:58 AM",,False,1,UT,2010-07-06,08:58 AM
P1-00238,UT 677VUZ,30.0,"Jul 06, 2010 09:44 AM",,False,1,UT,2010-07-06,09:44 AM
P1-00239,CA 5RVN895,0.0,"Jul 06, 2010 09:46 AM",,False,1,CA,2010-07-06,09:46 AM
P1-00240,UT 767UVD,30.0,"Jul 06, 2010 10:05 AM",,False,1,UT,2010-07-06,10:05 AM
P1-00241,UT 157HCJ,30.0,"Jul 06, 2010 10:18 AM",,False,1,UT,2010-07-06,10:18 AM
P1-00242,UT A564KR,7.0,"Jul 06, 2010 10:21 AM",,False,1,UT,2010-07-06,10:21 AM
P1-00243,UT Z474TP,17.0,"Jul 06, 2010 10:23 AM",,False,1,UT,2010-07-06,10:23 AM
